Comment,Designator,Footprint,LCSC
GZ2012D601TF,L1,L0805,C1017
68pF,"C20,C21,C22",C_0402_1005Metric,C14441
10nF,C17,C_0402_1005Metric,C15195
100nF,"C10,C11,C12,C13,C19,C3,C4,C5,C6,C7,C8",C_0402_1005Metric,C1525
33pF,C2,C_0402_1005Metric,C1562
1uF,"C14,C15",C_0603_1608Metric,C15849
0.47uF,C1,C_0603_1608Metric,C1623
4.7uF,"C16,C9",C_0603_1608Metric,C19666
0805G_(Green),"LED1,LED2",LED0805-R-RD,C2297
220,R4,R_0402_1005Metric,C25091
4.7k,R3,R_0402_1005Metric,C25900
5.1k,"R1,R2",R_0402_1005Metric,C25905
68,"R5,R6",R_0603_1608Metric,C27592
TYPE-C_16PIN_2MD(073),U4,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186
CH340X,U3,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,C3035748
10pF,C18,C_0402_1005Metric,C32949
KH-SMA-K513-G,U6,ANT-TH_KH-SMA-K513-G,C411575
XC6206P332MR,U2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C5446
X1G004131004200,U5,OSC-SMD_4P-L2.0-W1.6-BL_EPSON_TG-5006CJ-19H,C7527384
