Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.47uF,C_0603_1608Metric,126.3,-110.9,0.0,bottom
C2,33pF,C_0402_1005Metric,119.9,-114.48,270.0,bottom
C3,100nF,C_0402_1005Metric,123.52,-109.4,180.0,bottom
C4,100nF,C_0402_1005Metric,117.7,-114.5,270.0,bottom
C5,100nF,C_0402_1005Metric,123.5,-110.6,0.0,bottom
C6,100nF,C_0402_1005Metric,123.5,-111.8,0.0,bottom
C7,100nF,C_0402_1005Metric,118.8,-114.5,270.0,bottom
C8,100nF,C_0402_1005Metric,126.8,-109.2,180.0,bottom
C9,4.7uF,C_0603_1608Metric,112.3,-103.0,0.0,bottom
C10,100nF,C_0402_1005Metric,117.4,-108.3,0.0,bottom
C11,100nF,C_0402_1005Metric,126.1,-106.1,180.0,bottom
C12,100nF,C_0402_1005Metric,121.4,-104.4,0.0,bottom
C13,100nF,C_0402_1005Metric,114.2,-108.6,0.0,bottom
C14,1uF,C_0603_1608Metric,126.7,-101.625,90.0,bottom
C15,1uF,C_0603_1608Metric,132.9,-102.4,90.0,bottom
C16,4.7uF,C_0603_1608Metric,125.7,-104.7,0.0,bottom
C17,10nF,C_0402_1005Metric,115.9,-113.8,180.0,bottom
C18,10pF,C_0402_1005Metric,116.8,-112.5,180.0,bottom
C19,100nF,C_0402_1005Metric,126.1,-107.3,180.0,bottom
C20,68pF,C_0402_1005Metric,109.0,-109.8,180.0,top
C21,68pF,C_0402_1005Metric,112.8,-114.8,-90.0,top
C22,68pF,C_0402_1005Metric,111.4,-114.4,-90.0,top
L1,GZ2012D601TF,L0805,124.3,-102.1,270.0,bottom
LED1,0805G_(Green),LED0805-R-RD,104.8,-103.6,270.0,bottom
LED2,0805G_(Green),LED0805-R-RD,107.4,-103.6,270.0,bottom
R1,5.1k,R_0402_1005Metric,126.99,-114.81,90.0,bottom
R2,5.1k,R_0402_1005Metric,125.0,-114.81,90.0,bottom
R3,4.7k,R_0402_1005Metric,115.3,-110.5,90.0,bottom
R4,220,R_0402_1005Metric,114.2,-113.0,90.0,bottom
R5,68,R_0603_1608Metric,110.0,-105.4,90.0,bottom
R6,68,R_0603_1608Metric,110.9,-101.1,0.0,bottom
U2,XC6206P332MR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,129.9,-102.3,180.0,bottom
U3,CH340X,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,114.8,-106.3,90.0,bottom
U4,TYPE-C_16PIN_2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,131.279928,-109.709855,270.0,bottom
U5,X1G004131004200,OSC-SMD_4P-L2.0-W1.6-BL_EPSON_TG-5006CJ-19H,115.5,-115.7,0.0,bottom
U6,KH-SMA-K513-G,ANT-TH_KH-SMA-K513-G,104.559995,-109.840005,180.0,bottom
